Russian,English
то,then
сейчас,now
тут,here
лицо,face
каждый,every
друг,friend
нет,No
теперь,now
ни,n.
глаз,eye
тоже,too
тогда,then
видеть,see
вопрос,question
через,across
да,Yes
здесь,here
дом,House
да,Yes
потому,because
сторона,side
какой-то,Somehow
думать,think
сделать,do
страна,the country
жить,live
чем,how
мир,peace
об,about
последний,last
случай,happening
голова,head
более,more
делать,do
что-то,something
смотреть,look
ребенок,child
просто,simply
конечно,certainly
сила,strength
российский,Russian
конец,the end
перед,front
несколько,several
вид,view
система,system
всегда,always
работать,work
между,between
три,three
нет,No
понять,understand
пойти,Go
часть,part
спросить,ask
город,city
дать,give
также,also
никто,none
понимать,understand
получить,receive
отношение,Attitude
лишь,only
второй,second
именно,exactly
ваш,your
хотя,although
ни,n.
сидеть,sit
над,above
женщина,female
оказаться,be
русский,Russian
один,one
взять,take
прийти,come
являться,be
деньги,money
почему,why
вдруг,suddenly
любить,be in love
стоить,cost
почти,nearly
земля,Earth
общий,general
ведь,after all
машина,a car
однако,but
сразу,straightaway
хорошо,Okay
вода,water
отец,father
высокий,tall
остаться,stay
выйти,go out
много,many
проблема,problem
начать,begin
хороший,good
час,hour
это,this
сегодня,today
право,right
совсем,at all
нога,leg
считать,consider
главный,main
решение,solution
увидеть,see
дверь,a door
казаться,seem
образ,image
писать,write
история,history
лучший,best
власть,power
закон,law
все,all
война,war
бог,the God
голос,voice
найти,to find
поэтому,that's why
стоять,to stand
вообще,at all
тысяча,one thousand
больше,more
вместе,together
маленький,little
книга,book
некоторый,some
решить,solve
любой,any
возможность,possibility
результат,result
ночь,night
стол,table
никогда,never
имя,name
область,region
молодой,young
пройти,pass the
например,for example
статья,article
оно,it
число,number
компания,company
про,pro
государственный,state
полный,full
принять,accept
народ,people
никакой,no
советский,Soviet
жена,wife
настоящий,real
всякий,any
группа,Group
развитие,development
процесс,process
суд,court
давать,giving
ответить,to answer
старый,old
условие,condition
твой,is yours
пока,till
средство,means
помнить,remember
начало,Start
ждать,wait
свет,light
пора,It's time
путь,way
душа,soul
куда,where
нужно,necessary
разный,different
нужный,necessary
уровень,level
иной,other
форма,the form
связь,connection
уж,О.
минута,minute
кроме,except
находиться,be
опять,again
многий,Many
